rank,Video,Video views,Likes,Dislikes,Category,published
195,Teresa & Maria,11757639.0,160328.0,0,Music,2024
196,紫 今 - 魔性の女A　Lyric Video,1581463.0,61186.0,0,Music,2024
197,Barbie-Girl,22225399.0,10788.0,"3,217",Film & Animation,2006
198,ProtoType gameplay,3128367.0,4724.0,605,Entertainment,2008
199,Weird People and Animals,11474129.0,2458.0,"4,833",Comedy,2008
200,Lola and Annie - Road Trip Karaoke,7095244.0,4677.0,200,Comedy,2017
201,DIESEL LOUIE,1605558.0,1035.0,52,Autos & Vehicles,2007
202,4 year old little girl feeding and controlling six #pitbulls / Girl Controls Future Dog Trainer,6691213.0,3008.0,342,People & Blogs,2015
203,Big Fish - trailer,2126010.0,3046.0,119,Entertainment,2006
204,over 500 strokes per minute,2285448.0,1104.0,"5,442",Howto & Style,2007
205,Titanic - The Drawing Scene,1765315.0,444.0,"1,079",Comedy,2006
206,"morodo, la yerba del rey",5337381.0,5237.0,263,News & Politics,2007
207,Mulatto - No Hook (Official Video),2138136.0,123687.0,"1,793",Music,2020
208,Devils Fingers or Octopus Fungus Clathrus archeri December 2014,6705396.0,791.0,42,Autos & Vehicles,2014
209,"Gerald Daugherty Campaign: ""Please Re-Elect Gerald...Please!""",3923892.0,6783.0,103,People & Blogs,2016
210,Smart German Shepherd:  Twitch Letting Sophie Out of Her Kennel,9071139.0,6457.0,432,Pets & Animals,2012
211,Help your local hospital workers in the fight against COVID-19,1895774.0,0.0,0,Sin Categoría,2020
212,Morray - Trenches (Official Music Video),1352140.0,58129.0,"1,051",Music,2021
213,Beéle - Si Te Interesa (Official Video),1450005.0,94228.0,"1,067",Music,2021
214,NURO Biz「安定性」篇 15秒,6459787.0,4.0,0,Sin Categoría,2022
215,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,5767744.0,98070.0,0,Music,2022
216,Your Wyndham Is Waiting :30,12559128.0,0.0,0,Sin Categoría,2023
217,LINDOR Made to Melt You,72815244.0,108.0,0,Sin Categoría,2021
218,"Yovie Widianto, Ziva Magnolya - Menanti (Official Music Video)",3264026.0,58596.0,0,Music,2023
219,‎Good Night Good Dream (좋은 밤 좋은 꿈),1776477.0,9118.0,0,Music,2024
220,Addison Rae - Aquamarine (Official Video),2641333.0,135303.0,0,Music,2024
221,Corazón Partido,1494141.0,17261.0,0,Music,2025
222,supercars accidents !!!!!!!,2021817.0,694.0,230,Autos & Vehicles,2007
223,Bieżnie inSPORTline - Na każdą pogodę!,16093134.0,30.0,27,People & Blogs,2017
224,Aitch - Safe To Say,1330363.0,84759.0,"1,749",Music,2020
225,ShemarooMe - BOLLYWOOD | GUJARATI | DEVOTION | PUNJABI | KIDS,1226138.0,1.0,0,People & Blogs,2019
226,BREAK IT OFF ► SEAN PAUL & RIHANNA,35610827.0,0.0,0,Travel & Events,2007
227,If you watch this 100 times you'll still laugh !,45597951.0,97649.0,"27,835",Comedy,2008
228,"Korea, the best dancer ever!!!",24082631.0,36946.0,"13,769",Entertainment,2007
229,End Of Watch Trailer,3212936.0,1083.0,76,Film & Animation,2012
230,Rally driver's killer reflexes,7261710.0,15509.0,685,Sports,2011
231,Crazy Turtle,12093713.0,6766.0,"1,337",Entertainment,2007
232,"Top Ten most Awesome Boat , Crashes, Collisions, Sinkings and Amazings Sights at Sea",3062448.0,1642.0,273,Education,2009
233,テレビCM 「くらしをシアワセにする、ぜんぶ。」15秒,4827088.0,9.0,2,Sin Categoría,2020
234,The Rockettes 'Be My Baby' video,6636077.0,1284.0,41,Music,2013
235,Vegamálun GÍH,3012775.0,1632.0,162,People & Blogs,2017
236,Traditional Malaysian blowpipe maker shows how he takes down his prey in the wild,3510345.0,32449.0,248,Film & Animation,2017
237,Doug Fernandez gives up,2002491.0,19461.0,185,People & Blogs,2017
238,Мир не без добрых людей    Забыв про свадьбу,2068532.0,839.0,45,Music,2017
239,Napoleon. Always in for a thrill. NL,4245390.0,2.0,3,Sin Categoría,2019
240,Buffet,2751775.0,5401.0,342,Comedy,2016
241,Customer Fail!,4525935.0,8052.0,"2,288",People & Blogs,2016
242,Blue Angels Fly By,7980199.0,11170.0,417,Comedy,2015
243,Tyla Yaweh - I Think I Luv Her (Lyric Video) ft. YG,2124429.0,19110.0,"1,256",Music,2019
244,Convert JPG to PDF with Convert-JPG-to-PDF.net,1275912.0,373.0,116,Sin Categoría,2012
245,"Dare to live without limits, FibreGuard Stain Resistant Fabric",1370100.0,7.0,0,Sin Categoría,2018
246,video picante del jaripeo,4148013.0,442.0,846,Entertainment,2009
247,Carle and Health Alliance – Redefining healthcare around you,1320929.0,8.0,2,Sin Categoría,2019
248,University of Arizona v.s. UCLA Streaker Dressed as Referee 2011 ENTIRE VIDEO (ORIGINAL),2601392.0,3467.0,580,Entertainment,2011
249,Breast Flexing,4119405.0,1819.0,215,Entertainment,2007
250,DOBLAJES DX EL CHAVO CHAPULIN COLORADO,1886651.0,421.0,"1,040",Comedy,2007
251,How to Change a Nipple Piercing,11658971.0,596.0,"7,432",Howto & Style,2011
252,"Crocodile attacks couple  in Zimbabwe , Kariba 2016 Insta @stueysink88",4422005.0,879.0,338,Pets & Animals,2016
253,Lil Kee - What You Sayin ft. Lil Baby,2716318.0,83058.0,0,Music,2022
254,"Buat kamu yang #BeraniExtra, Cobain Susu UHT Greenfields yang #ExtraTasty!",91527894.0,61.0,0,Sin Categoría,2022
255,How to Save Water Around the Yard,10671714.0,19.0,0,Sin Categoría,2022
256,Årets beste griller - Prisguiden griller grillekspertene,2531881.0,15.0,0,Sin Categoría,2018
257,NERDS Gummy Clusters | Roll Bounce,12348407.0,19.0,0,Sin Categoría,2023
258,Helping small businesses find a way,1949456.0,0.0,0,Sin Categoría,2021
259,ALFA - Vai! (Official Video - Sanremo 2024),5192650.0,49065.0,0,Music,2024
260,Trueno - REAL GANGSTA LOVE (Visualizer),3079234.0,109936.0,0,Music,2024
261,Isadora Pompeo - Ovelhinha (Ao Vivo),2934585.0,66830.0,0,Music,2024
262,"Sabe que os mlk é drake, não é bigode não",1415045.0,18770.0,0,Music,2024
263,ROSONES,1143334.0,27036.0,0,Music,2024
264,Ready? Ready.,1486824.0,4805.0,143,People & Blogs,2016
265,Privacy in a brand-named hotel,22529178.0,6601.0,"2,414",People & Blogs,2014
266,Ocean Mist Cut Down,6815505.0,38.0,14,Sin Categoría,2019
267,Reckless Driver Videos Himself Speeding On Facebook Live Before Accident,3653602.0,3162.0,"4,296",Travel & Events,2016
268,"Empleados de BANAMEX dándose de arrimones en Angelópolis, Puebla",3649044.0,192.0,"4,753",News & Politics,2010
269,誰でも簡単、無料で公開！ホームページ作成ならWix.com,22504802.0,165.0,88,Howto & Style,2016
270,Old man is having fun under metallica,2566313.0,25274.0,399,Entertainment,2017
271,Experimento Asiento Incómodo,2516672.0,1285.0,868,People & Blogs,2017
272,Rollercoaster bezichtiging in Ermelo,4851071.0,3934.0,141,People & Blogs,2014
273,Сидит себе такой стареющий Серёжа... (Тарута мультик),1020604.0,1123.0,9,People & Blogs,2017
274,Daddy yankee Llamada De Emergencia oficcial video,3393600.0,1210.0,126,Music,2008
275,American Terrorist Christopher Cantwell balls his eyes out,1283550.0,1966.0,"5,740",People & Blogs,2017
276,Chinese boy breaks elevator with his pee pee,2171435.0,990.0,102,People & Blogs,2018
277,Superman Disguise,1388327.0,6100.0,97,People & Blogs,2010
278,Touch at Your Own Risk,2637024.0,3931.0,222,People & Blogs,2017
279,Bio-Oil Love your marks,22620709.0,34.0,12,Howto & Style,2019
280,"Lisa Simpson calls Donald Trump Presidency, Increased Debt",5099101.0,6432.0,350,Comedy,2011
281,Accident in ski lift Gudauri Georgia,1070767.0,694.0,184,People & Blogs,2018
282,atlantis waterslide lol,1421652.0,475.0,38,Entertainment,2007
283,New 15 ' SunSense Sunscreen - Expert Care for the Sun Aware 30' Ad 2019/20 Summer,1207217.0,2.0,1,Sin Categoría,2019
284,SHP SHPT1013 Brand Pre Roll Triplets 30   Unslated MP4,1394372.0,0.0,0,Sin Categoría,2019
285,Lionel Messi VS Real Madrid The Fight,1851681.0,705.0,"1,163",Sports,2009
286,HELLS ANGELS BEAT & STAB BANDIDOS BIKER GANG,2659150.0,375.0,150,News & Politics,2007
287,Backyardigans,1232789.0,216.0,120,Entertainment,2010
288,Court room beating,3569473.0,2312.0,131,People & Blogs,2006
289,BACILOS LA CARA DE LA LUNA,2142731.0,2971.0,89,Music,2008
290,The best gymnastics of the world 1,1998858.0,1783.0,292,Sports,2007
291,Cars: Mater-National ps3,1459766.0,105.0,54,Entertainment,2008
292,Stuck Tractor,13021062.0,0.0,0,Autos & Vehicles,2007
293,"Hippo Charge on Chobe River Jan2015, recorded with iPhone 6; Botswana, Awesome but crazy dangerous.",9735098.0,14563.0,773,People & Blogs,2015
294,Kid at Minecon 2016 asks what we all wish we could answer,1669272.0,23510.0,502,People & Blogs,2016
295,Bruce Lee VS japanese school,22075523.0,25688.0,0,Film & Animation,2007
296,"Brest terres océanes, le bout du monde à portée de main !",1310703.0,93.0,0,Sin Categoría,2020
297,Sauti Sol - Lil Mama (Official Audio),1642529.0,27426.0,0,Music,2022
298,Amarah Bagaikan Korek Api,15504921.0,90.0,0,Sin Categoría,2022
299,#WhatMakesUsOne - by The Times of India - (60sec),34955901.0,20.0,0,Sin Categoría,2023
300,Destroy Lonely - Look Killa (Short Film) (Short Film),1194149.0,89811.0,0,Music,2023
301,"Chencho Corleone, Peso Pluma - HUMO (Official Video)",8915202.0,199564.0,0,Music,2024
302,Tiryakinim,8170818.0,45890.0,0,Music,2024
303,don't leave me (거짓말처럼),1787169.0,13937.0,0,Music,2024
304,"Rema, Shallipopi - BENIN BOYS",3795164.0,112684.0,0,Music,2024
305,Luck Ra - ROBAME UN BESO (Official Video),1891707.0,41102.0,0,Music,2024
306,JENNIE - ZEN (RUBY ALBUM MARCH 7),30170014.0,1932403.0,0,Music,2025
307,"Nanpa Básico, Kris R. - Cariñitos Y Flores (Official Video)",4208059.0,63605.0,0,Music,2025
308,UWAIE,8114376.0,122955.0,0,Music,2024
309,Trueno - REAL GANGSTA LOVE (Official Video),15985735.0,263086.0,0,Music,2024
